from,to,cost
59072,59316,464.83568160729504
59072,59317,445.7955543314742
59072,59318,460.62952963611264
59072,59319,478.0955554053765
59072,59324,497.39376356136705
59072,59456,309.77989407640774
59072,59462,246.5830900270387
59072,59469,298.90138366035285
59072,59470,234.41167664223977
59072,59471,210.70066439302084
59072,59473,234.09654268274073
59072,59475,268.68888592241683
59072,59476,261.49996521777035
59072,59477,282.0004309019164
59072,59478,286.93193370165244
59072,59480,234.84030689654563
59072,59481,229.5332027693699
59072,59485,276.73558839994513
59072,59487,301.4255720953866
59072,59488,306.0858870681389
59072,59492,314.95057361138583
59072,59493,302.43799389281645
59072,59500,362.83008955532654
59072,59501,378.041855234362
59072,59502,392.2626534541044
59072,59650,436.29277143013485
59072,59653,355.23415197517295
59072,59654,411.5287315505781
59072,59655,393.695337254222
59072,59656,410.4013978964743
59072,59658,458.34188560332956
59072,59659,370.4790693697709
59072,59663,333.137212635715
59072,59664,390.8140518133218
59072,59673,344.18949053152426
59072,59750,487.22135058593324
59072,59754,546.1188595541494
59074,59075,49.634244427139926
59074,59081,116.6706751053381
59074,59082,147.16023484398255
59074,59087,158.8773698770921
59074,59088,135.89469041757
59074,59090,198.6391797291799
59074,59094,201.1122265017522
59074,59096,237.1214904459226
59074,59097,215.8731362903634
59074,59099,281.89351107603807
59074,59106,379.62457291832453
59074,59107,321.3677476170091
59074,59109,366.0308791921471
59074,59114,406.9375230845592
59074,59116,461.8339604796765
59074,59117,398.61397485172444
59074,59264,146.06058378631204
59074,59268,159.914309010466
59074,59269,160.33381630350564
59074,59270,72.42171145739837
59074,59271,108.43945268730099
59074,59276,145.02149248101503
59074,59278,174.13358911519208
59074,59279,171.2129518176998
59074,59280,133.70677597497362
59074,59284,168.67587277727026
59074,59285,184.69228214946787
59074,59287,202.25400625579778
59074,59288,181.1945012436556
59074,59289,240.0630704965219
59074,59290,230.68486036140715
59074,59293,275.65437349400605
59074,59294,219.6898467053807
59074,59297,266.36345450650055
59074,59298,281.0478233825208
59074,59303,372.48541437328316
59074,59304,325.18178232070045
59074,59306,396.34405849154336
59074,59310,418.8468687343343
59074,59312,472.98632774882475
59074,59313,500.5806665047821
59074,59314,428.89582270998267
59074,59315,445.76605435859045
59074,59316,478.7579207965815
59074,59317,456.09804050240973
59074,59318,473.4172780911625
59074,59319,492.5298022940558
59074,59324,512.2056118173389
59074,59456,276.75041603659304
59074,59462,215.5906514761121
59074,59469,269.8282755443808
59074,59470,208.229881130202
59074,59471,182.84805135090718
59074,59473,217.11439247614302
59074,59475,246.89744732354836
59074,59476,244.20018296866667
59074,59477,256.16517957626235
59074,59478,266.15780191795005
59074,59480,221.87594779032457
59074,59481,218.03642203843273
59074,59485,263.3836628104129
59074,59487,285.7521467730047
59074,59488,293.2893987621345
59074,59492,317.4901251207784
59074,59493,295.3055928756851
59074,59500,368.7871764212199
59074,59501,382.82735329907456
59074,59502,399.5767204920417
59074,59650,403.0195045639566
59074,59653,322.5549788201582
59074,59654,378.1301901367429
59074,59655,360.8193051828611
59074,59656,378.28116353254666
59074,59658,425.36609844511213
59074,59659,338.21472948515475
59074,59663,305.5707600919206
59074,59664,358.9984206690424
59074,59673,322.45173613342405
59074,59750,454.0473375238768
59074,59754,513.6428019584052
59075,59081,73.76675014357531
59075,59082,100.45052969530686
59075,59087,112.3826790888581
59075,59088,86.81234850946163
59075,59090,154.72924665739356
59075,59094,151.72449713379012
59075,59096,187.90798402067585
59075,59097,166.36494108450108
59075,59099,233.06783294900526
59075,59106,331.3394603637091
59075,59107,271.8264744233165
59075,59109,316.61052214738993
59075,59114,358.89293712077995
59075,59116,412.91017052126796
59075,59117,349.4921837300328
59075,59264,166.34697841994017
59075,59268,176.88143213496525
59075,59269,169.5811064127268
59075,59270,77.290544577841
59075,59271,96.78095464961726
59075,59276,125.8074874400452
59075,59278,162.45172503125582
59075,59279,146.76428274798957
59075,59280,96.16949431300336
59075,59284,132.85143791218192
59075,59285,141.3804792903121
59075,59287,164.81057643307156
59075,59288,153.28949127900225
59075,59289,202.04176062496833
59075,59290,182.09266352220166
59075,59293,226.35579651049105
59075,59294,176.92356147366098
59075,59297,221.74413159610563
59075,59298,236.75747822105356
59075,59303,322.86148653135336
59075,59304,275.9356357685036
59075,59306,347.0234697060597
59075,59310,369.2127108811076
59075,59312,423.35262712758464
59075,59313,450.9570459525388
59075,59314,379.66596711414456
59075,59315,396.1623025498075
59075,59316,429.21603573470236
59075,59317,407.2564404457802
59075,59318,424.0240327722326
59075,59319,442.94494018516053
59075,59324,462.59838641297404
59075,59456,293.89300010520526
59075,59462,224.28264054163992
59075,59469,271.4278949878065
59075,59470,202.94579005214558
59075,59471,182.39084173039083
59075,59473,193.48862405712757
59075,59475,231.5535492014941
59075,59476,220.87956057084347
59075,59477,249.3876733363142
59075,59478,248.7151829361744
59075,59480,192.14574552254885
59075,59481,186.32669990661134
59075,59485,234.0100163083705
59075,59487,259.65797787078964
59075,59488,263.0607533698501
59075,59492,272.1252626212828
59075,59493,258.2180495084199
59075,59500,321.55846883612605
59075,59501,336.2131435578136
59075,59502,351.7595166829128
59075,59650,420.78753303094766
59075,59653,337.2498548805635
59075,59654,396.9793067382568
59075,59655,376.3153132930589
59075,59656,389.83660733350024
59075,59658,441.07602774998867
59075,59659,350.711047024021
59075,59663,302.6302694092579
59075,59664,369.34547541564797
59075,59673,306.4639298362946
59075,59750,470.88115509969015
59075,59754,526.2655143673245
59081,59082,34.59612448265203
59081,59087,103.10261661410377
59081,59088,68.28108338288831
59081,59090,82.00356561231865
59081,59094,97.59022622925762
59081,59096,129.77305630388702
59081,59097,123.69357162483232
59081,59099,170.97753380277223
59081,59106,265.94467306883473
59081,59107,215.575976526147
59081,59109,257.95639266427236
59081,59114,292.5965586505639
59081,59116,349.8764063947461
59081,59117,287.9734586979416
59081,59264,237.3140777461034
59081,59268,246.3127081550925
59081,59269,235.36601295226234
59081,59270,147.0035023779785
59081,59271,154.38981719574664
59081,59276,171.58288142166023
59081,59278,212.3317322067584
59081,59279,182.92740703847107
59081,59280,119.7319070173155
59081,59284,151.4797333086734
59081,59285,138.56130248279558
59081,59287,174.84530111875839
59081,59288,183.36794427808093
59081,59289,206.6290257726232
59081,59290,148.5927712940502
59081,59293,183.15506918931408
59081,59294,170.8207721324303
59081,59297,205.10399947027884
59081,59298,220.30797438788696
59081,59303,268.16366857925436
59081,59304,231.51893070690966
59081,59306,300.1645213501235
59081,59310,315.0189018834547
59081,59312,368.5041701893889
59081,59313,395.0349554310599
59081,59314,333.2918666710451
59081,59315,343.8383309050152
59081,59316,378.1135783747213
59081,59317,363.86421394560386
59081,59318,375.25943732075194
59081,59319,390.7548764309743
59081,59324,409.5865376272341
59081,59456,361.46339693671956
59081,59462,287.9480008102306
59081,59469,328.430912174902
59081,59470,256.363251528455
59081,59471,241.02071528213688
59081,59473,225.96946562146792
59081,59475,272.6227750670519
59081,59476,251.76245628356838
59081,59477,299.25513696107384
59081,59478,286.22421374715043
59081,59480,214.8683363879315
59081,59481,205.9813132455975
59081,59485,254.103217708796
59081,59487,283.8720416846201
59081,59488,279.8678752700159
59081,59492,249.7610517297125
59081,59493,261.00460593192895
59081,59500,289.33306476489014
59081,59501,306.4235716854231
59081,59502,315.75593695147546
59081,59650,487.6441012351003
59081,59653,402.87355254352946
59081,59654,464.6304453072759
59081,59655,442.0746406829751
59081,59656,452.7684437633873
59081,59658,506.48885589114735
59081,59659,414.72695763500025
59081,59663,354.6445561615028
59081,59664,431.60678367078236
59081,59673,343.50628645930436
59081,59750,536.8544448144169
59081,59754,588.9639629805216
59082,59087,88.3162955638885
59082,59088,57.516730849292934
59082,59090,56.80618497426586
59082,59094,63.58500211714131
59082,59096,95.17767212274474
59082,59097,92.00863448550943
59082,59099,136.86811047727983
59082,59106,232.96236387239776
59082,59107,180.9881768318515
59082,59109,223.53725543699753
59082,59114,260.00522811419836
59082,59116,316.2843535845153
59082,59117,253.9857937800951
59082,59264,256.05953867621355
59082,59268,263.2957686061372
59082,59269,249.35459451007617
59082,59270,166.51526316345252
59082,59271,165.91123974423354
59082,59276,175.85034350824344
59082,59278,216.88035678842226
59082,59279,181.73794941321017
59082,59280,118.20179746087864
59082,59284,144.14325520072268
59082,59285,122.4514398726011
59082,59287,161.87427139680386
59082,59288,179.20409588692968
59082,59289,189.70558805867256
59082,59290,119.03663932949239
59082,59293,150.12090546448525
59082,59294,150.9906519891926
59082,59297,179.71865198500322
59082,59298,194.59459147654377
59082,59303,233.56794884190194
59082,59304,197.88670039729936
59082,59306,265.9836696731663
59082,59310,280.42351391439894
59082,59312,333.9264384884512
59082,59313,360.50440828385393
59082,59314,299.1070992310186
59082,59315,309.2563546101268
59082,59316,343.55687357335665
59082,59317,329.9808189063915
59082,59318,340.82428508985436
59082,59319,356.1673994957937
59082,59324,374.99045824026075
59082,59456,375.45264022464613
59082,59462,299.4234892138002
59082,59469,334.6696973808938
59082,59470,261.6445565139763
59082,59471,249.87670077947826
59082,59473,221.0364847603003
59082,59475,270.65382879334476
59082,59476,245.21576590046377
59082,59477,301.56728011153496
59082,59478,282.1042746522177
59082,59480,205.71529977491383
59082,59481,195.783884902873
59082,59485,242.42334068313468
59082,59487,273.34158982282025
59082,59488,266.071212215046
59082,59492,221.48100874817496
59082,59493,241.69229506682169
59082,59500,257.8565788125953
59082,59501,275.43039907329586
59082,59502,283.27489225324894
59082,59650,500.22875723424823
59082,59653,414.8024069719355
59082,59654,478.0872913977115
59082,59655,453.880307991566
59082,59656,462.14435855912967
59082,59658,517.668543993418
59082,59659,425.22069888350353
59082,59663,357.3989784126676
59082,59664,440.59138808341186
59082,59673,338.11432675835135
59082,59750,548.4156754185619
59082,59754,597.5216637913338
59087,59088,34.90921890733265
59087,59090,131.51280379765953
59087,59094,80.33553815107581
59087,59096,111.74878914287697
59087,59097,71.71356716024245
59087,59099,156.6324035414239
59087,59106,253.85102559124127
59087,59107,180.96556815570645
59087,59109,226.7191415368319
59087,59114,282.2575931828062
59087,59116,326.9787799597874
59087,59117,262.9549483372557
59087,59264,212.8100291802464
59087,59268,214.81909096731266
59087,59269,194.38755725676768
59087,59270,136.44970038261127
59087,59271,114.49146294059845
59087,59276,106.5607268951409
59087,59278,144.54333394043036
59087,59279,102.33844521864818
59087,59280,48.22487984540687
59087,59284,59.13213317283015
59087,59285,35.459045605975085
59087,59287,73.58416670564058
59087,59288,95.96083907687327
59087,59289,103.5468152059636
59087,59290,75.16419959733578
59087,59293,123.52501614518275
59087,59294,68.90937192354914
59087,59297,109.94901763324522
59087,59298,125.15077361093809
59087,59303,226.9979730143841
59087,59304,171.40739670320033
59087,59306,242.33414316301977
59087,59310,271.1490028351011
59087,59312,324.7896875783844
59087,59313,353.15856357136084
59087,59314,273.97483939378964
59087,59315,295.38243545995095
59087,59316,326.64214333708395
59087,59317,299.2429665112081
59087,59318,319.49836046329256
59087,59319,341.1965771685025
59087,59324,361.3797084001202
59087,59456,315.14417090662926
59087,59462,236.20439291958002
59087,59469,260.7871307233991
59087,59470,188.33470032116855
59087,59471,183.6721186967702
59087,59473,135.75334587696923
59087,59475,187.28004691196082
59087,59476,158.42249434150227
59087,59477,222.65065019657925
59087,59478,196.64205482552399
59087,59480,117.9320380965997
59087,59481,107.70913977464122
59087,59485,154.11081593829255
59087,59487,185.0541445751919
59087,59488,178.18476603623515
59087,59492,159.80296103585616
59087,59493,158.10171848071485
59087,59500,209.91651395366046
59087,59501,224.0681563678613
59087,59502,240.95319829804112
59087,59650,434.806435032391
59087,59653,349.38099837593506
59087,59654,414.6950575964093
59087,59655,387.57802443218526
59087,59656,391.3403721320318
59087,59658,449.40664559978643
59087,59659,356.90591824314805
59087,59663,278.12543498790745
59087,59664,369.3995422772893
59087,59673,251.40486993798615
59087,59750,480.544086039985
59087,59754,524.1888203347983
59088,59090,108.06429045640327
59088,59094,73.51676683687982
59088,59096,109.62493056031828
59088,59097,80.56168985941655
59088,59099,156.10178202726658
59088,59106,255.36233669011864
59088,59107,189.04896880765202
59088,59109,234.6353333798459
59088,59114,283.61503755209003
59088,59116,333.3073994253601
59088,59117,269.23516396293365
59088,59264,213.9775694080263
59088,59268,218.68112757073308
59088,59269,201.4824159737082
59088,59270,129.33283370671344
59088,59271,117.89622097839312
59088,59276,121.20537003793518
59088,59278,161.79621347860507
59088,59279,124.64277508046621
59088,59280,61.79483067066855
59088,59284,86.7878371950981
59088,59285,70.33347719281583
59088,59287,107.04156382113058
59088,59288,121.69599256432235
59088,59289,138.36001402228726
59088,59290,95.44341911035549
59088,59293,139.78472188801396
59088,59294,103.43242321817573
59088,59297,141.69847443356772
59088,59298,157.02042340706166
59088,59303,238.616958254417
59088,59304,189.28882064880972
59088,59306,260.46918547771605
59088,59310,284.41438047542965
59088,59312,338.5401650314209
59088,59313,366.47237416434615
59088,59314,293.0012475779348
59088,59315,310.59309534820034
59088,59316,343.2192975660092
59088,59317,320.44442032176147
59088,59318,337.5859037634002
59088,59319,357.18710918873154
59088,59324,377.0209450265661
59088,59456,326.0898431976271
59088,59462,248.37921747396348
59088,59469,279.6926193265316
59088,59470,206.56187300902295
59088,59471,197.24426243415047
59088,59473,163.54698491154502
59088,59475,213.21528884784118
59088,59476,187.95144490168727
59088,59477,244.99922433461018
59088,59478,224.6008342364457
59088,59480,149.0682966323558
59088,59481,139.5230040433259
59088,59485,187.02791513693734
59088,59487,217.41989051575445
59088,59488,212.06281124847888
59088,59492,189.7531927672281
59088,59493,193.00380384601328
59088,59500,236.05048722046072
59088,59501,251.45625078392564
59088,59502,265.55329554996536
59088,59650,448.9728549968455
59088,59653,363.338469655552
59088,59654,427.6745004304895
59088,59655,402.1462524492251
59088,59656,408.5930697667893
59088,59658,465.23828272481904
59088,59659,372.58122958320973
59088,59663,300.8403479339866
59088,59664,386.8488253373977
59088,59673,280.75143138041216
59088,59750,496.1965445684181
59088,59754,543.1768225257476
59090,59094,66.98299137322698
59090,59096,76.74060716781237
59090,59097,101.04923570393277
59090,59099,103.26033236954083
59090,59106,189.50797260708353
59090,59107,153.46353624870767
59090,59109,190.21677505591973
59090,59114,214.8212134428708
59090,59116,274.91067633334995
59090,59117,215.7080105064364
59090,59264,312.86510381282704
59090,59268,320.03380638758694
59090,59269,305.6769208086389
59090,59270,223.23886835334295
59090,59271,221.98957665761395
59090,59276,229.18560870862956
59090,59278,269.8578844309265
59090,59279,231.72907745489636
59090,59280,169.7949839055418
59090,59284,190.4836694323665
59090,59285,160.85543334608533
59090,59287,201.70011110635403
59090,59288,227.02811519970484
59090,59289,223.10937556183825
59090,59290,131.51652970512555
59090,59293,144.45329584589416
59090,59294,181.97795242670327
59090,59297,198.1881653211022
59090,59298,211.49204558011934
59090,59303,205.26945614698315
59090,59304,185.1365323641493
59090,59306,246.056732692984
59090,59310,251.0687885389291
59090,59312,302.46351994681106
59090,59313,327.29811147724814
59090,59314,278.44814028184527
59090,59315,281.3650105519801
59090,59316,316.261365840186
59090,59317,311.6259622918041
59090,59318,316.24334493517586
59090,59319,327.365498672193
59090,59324,344.9092554239948
59090,59456,431.5755083197949
59090,59462,354.94582504188554
59090,59469,387.7565175065421
59090,59470,314.6261494281064
59090,59471,304.6233548990923
59090,59473,267.2645705489098
59090,59475,318.64063423782864
59090,59476,289.4837914557759
59090,59477,352.4465445012409
59090,59478,328.09921866289153
59090,59480,248.2182749576406
59090,59481,237.457853703462
59090,59485,281.1481526297211
59090,59487,312.80971143489677
59090,59488,301.56534600290155
59090,59492,230.40994643559787
59090,59493,269.4875625691166
59090,59500,254.45704932681824
59090,59501,273.47863458398695
59090,59502,274.5931146279501
59090,59650,555.7963517396161
59090,59653,470.24579437541894
59090,59654,533.9566434299518
59090,59655,509.22412031268954
59090,59656,516.459358749199
59090,59658,572.6909142331999
59090,59659,480.0961340867103
59090,59663,408.2237415168778
59090,59664,494.76316815668633
59090,59673,382.2740653758141
59090,59750,603.5576460226886
59090,59754,651.2226363203256
59094,59096,36.575026308631145
59094,59097,34.369528932429674
59094,59099,82.86622501404867
59094,59106,182.16463530179436
59094,59107,120.50126335038762
59094,59109,164.91866183257872
59094,59114,210.3236558954866
59094,59116,261.6820655401235
59094,59117,197.96943712192686
59094,59264,286.89399213261294
59094,59268,290.82448673809523
59094,59269,272.19302917211473
59094,59270,202.8090919826694
59094,59271,189.6452176588213
59094,59276,186.52301922416441
59094,59278,224.87881804769935
59094,59279,182.15531874709708
59094,59280,126.87765311681508
59094,59284,137.56464553652836
59094,59285,101.67320748797096
59094,59287,141.68037569446938
59094,59288,174.37296404587136
59094,59289,158.6837662699013
59094,59290,64.81334938455657
59094,59293,87.1337311492155
59094,59294,117.32240246317475
59094,59297,131.2598620299999
59094,59298,144.7491961613494
59094,59303,172.36747099368773
59094,59304,134.3345015739854
59094,59306,202.57496688293818
59094,59310,219.11974607161304
59094,59312,273.0501139582479
