云州区,140215,Yunzhou Qu,yzq,YunzhouQu
阳高县,140221,Yanggao Xian,ygx,YanggaoXian
天镇县,140222,Tianzhen Xian,tzx,TianzhenXian
广灵县,140223,Guangling Xian,glx,GuanglingXian
灵丘县,140224,Lingqiu Xian,lqx,LingqiuXian
浑源县,140225,Hunyuan Xian,hyx,HunyuanXian
左云县,140226,Zuoyun Xian,zyx,ZuoyunXian
阳泉市,140300,Yangquan Shi,yqs,YangquanShi
城区,140302,Cheng Qu,cq,ChengQu
矿区,140303,Kuang Qu,kq,KuangQu
郊区,140311,Jiao Qu,jq,JiaoQu
平定县,140321,Pingding Xian,pdx,PingdingXian
盂县,140322,Yu Xian,yx,YuXian
长治市,140400,Changzhi Shi,czs,ChangzhiShi
潞州区,140403,Luzhou Qu,lzq,LuzhouQu
上党区,140404,Shangdang Qu,sdq,ShangdangQu
屯留区,140405,Tunliu Qu,tlq,TunliuQu
潞城区,140406,Lucheng Qu,lcq,LuchengQu
襄垣县,140423,Xiangyuan Xian,xyx,XiangyuanXian
平顺县,140425,Pingshun Xian,psx,PingshunXian
黎城县,140426,Licheng Xian,lcx,LichengXian
壶关县,140427,Huguan Xian,hgx,HuguanXian
长子县,140428,Zhangzi Xian,zzx,ZhangziXian
武乡县,140429,Wuxiang Xian,wxx,WuxiangXian
沁县,140430,Qin Xian,qx,QinXian
沁源县,140431,Qinyuan Xian,qyx,QinyuanXian
晋城市,140500,Jincheng Shi,jcs,JinchengShi
城区,140502,Cheng Qu,cq,ChengQu
高平市,140581,Gaoping Shi,gps,GaopingShi
沁水县,140521,Qinshui Xian,qsx,QinshuiXian
阳城县,140522,Yangcheng Xian,ycx,YangchengXian
陵川县,140524,Lingchuan Xian,lcx,LingchuanXian
泽州县,140525,Zezhou Xian,zzx,ZezhouXian
朔州市,140600,Shuozhou Shi,szs,ShuozhouShi
朔城区,140602,Shuocheng Qu,scq,ShuochengQu
平鲁区,140603,Pinglu Qu,plq,PingluQu
怀仁市,140681,Huairen Shi,hrs,HuairenShi
山阴县,140621,Shanyin Xian,syx,ShanyinXian
应县,140622,Ying Xian,yx,YingXian
右玉县,140623,Youyu Xian,yyx,YouyuXian
晋中市,140700,Jinzhong Shi,jzs,JinzhongShi
榆次区,140702,Yuci Qu,ycq,YuciQu
太谷区,140703,Taigu Qu,tgx,TaiguQu
介休市,140781,Jiexiu Shi,jxs,JiexiuShi
榆社县,140721,Yushe Xian,ysx,YusheXian
左权县,140722,Zuoquan Xian,zqx,ZuoquanXian
和顺县,140723,Heshun Xian,hsx,HeshunXian
昔阳县,140724,Xiyang Xian,xyx,XiyangXian
寿阳县,140725,Shouyang Xian,syx,ShouyangXian
祁县,140727,Qi Xian,qx,QiXian
平遥县,140728,Pingyao Xian,pyx,PingyaoXian
灵石县,140729,Lingshi Xian,lsx,LingshiXian
运城市,140800,Yuncheng Shi,ycs,YunchengShi
盐湖区,140802,Yanhu Qu,yhq,YanhuQu
永济市,140881,Yongji Shi,yjs,YongjiShi
河津市,140882,Hejin Shi,hjs,HejinShi
临猗县,140821,Linyi Xian,lyx,LinyiXian
万荣县,140822,Wanrong Xian,wrx,WanrongXian
闻喜县,140823,Wenxi Xian,wxx,WenxiXian
稷山县,140824,Jishan Xian,jsx,JishanXian
新绛县,140825,Xinjiang Xian,xjx,XinjiangXian
绛县,140826,Jiang Xian,jx,JiangXian
垣曲县,140827,Yuanqu Xian,yqx,YuanquXian
夏县,140828,Xia Xian,xx,XiaXian
平陆县,140829,Pinglu Xian,plx,PingluXian
芮城县,140830,Ruicheng Xian,rcx,RuichengXian
忻州市,140900,Xinzhou Shi,xzs,XinzhouShi
忻府区,140902,Xinfu Qu,xfq,XinfuQu
原平市,140981,Yuanping Shi,yps,YuanpingShi
定襄县,140921,Dingxiang Xian,dxx,DingxiangXian
五台县,140922,Wutai Xian,wtx,WutaiXian
代县,140923,Dai Xian,dx,DaiXian
繁峙县,140924,Fanshi Xian,fsx,FanshiXian
宁武县,140925,Ningwu Xian,nwx,NingwuXian
静乐县,140926,Jingle Xian,jlx,JingleXian
神池县,140927,Shenchi Xian,scx,ShenchiXian
五寨县,140928,Wuzhai Xian,wzx,WuzhaiXian
岢岚县,140929,Kelan Xian,klx,KelanXian
河曲县,140930,Hequ Xian,hqx,HequXian
保德县,140931,Baode Xian,bdx,BaodeXian
偏关县,140932,Pianguan Xian,pgx,PianguanXian
临汾市,141000,Linfen Shi,lfs,LinfenShi
尧都区,141002,Yaodu Qu,ydq,YaoduQu
侯马市,141081,Houma Shi,hms,HoumaShi
霍州市,141082,Huozhou Shi,hzs,HuozhouShi
曲沃县,141021,Quwo Xian,qwx,QuwoXian
翼城县,141022,Yicheng Xian,ycx,YichengXian
襄汾县,141023,Xiangfen Xian,xfx,XiangfenXian
洪洞县,141024,Hongtong Xian,htx,HongtongXian
古县,141025,Gu Xian,gx,GuXian
安泽县,141026,Anze Xian,azx,AnzeXian
浮山县,141027,Fushan Xian,fsx,FushanXian
吉县,141028,Ji Xian,jx,JiXian
乡宁县,141029,Xiangning Xian,xnx,XiangningXian
大宁县,141030,Daning Xian,dnx,DaningXian
隰县,141031,Xi Xian,xx,XiXian
永和县,141032,Yonghe Xian,yhx,YongheXian
蒲县,141033,Pu Xian,px,PuXian
汾西县,141034,Fenxi Xian,fxx,FenxiXian
吕梁市,141100,L眉liang Shi,lls,L眉liangShi
离石区,141102,Lishi Qu,lsq,LishiQu
孝义市,141181,Xiaoyi Shi,xys,XiaoyiShi
汾阳市,141182,Fenyang Shi,fys,FenyangShi
文水县,141121,Wenshui Xian,wsx,WenshuiXian
交城县,141122,Jiaocheng Xian,jcx,JiaochengXian
兴县,141123,Xing Xian,xx,XingXian
临县,141124,Lin Xian,lx,LinXian
柳林县,141125,Liulin Xian,llx,LiulinXian
石楼县,141126,Shilou Xian,slx,ShilouXian
岚县,141127,Lan Xian,lx,LanXian
方山县,141128,Fangshan Xian,fsx,FangshanXian
中阳县,141129,Zhongyang Xian,zyx,ZhongyangXian
交口县,141130,Jiaokou Xian,jkx,JiaokouXian
内蒙古自治区,150000,Neimenggu Zizhiqu,nmgzzq,NeimengguZizhiqu
呼和浩特市,150100,Huhehaote Shi,hhhts,HuhehaoteShi
新城区,150102,Xincheng Qu,xcq,XinchengQu
回民区,150103,Huimin Qu,hmq,HuiminQu
玉泉区,150104,Yuquan Qu,yqq,YuquanQu
赛罕区,150105,Saihan Qu,shq,SaihanQu
托克托县,150122,Tuoketuo Xian,tktx,TuoketuoXian
和林格尔县,150123,Helinge&#39;er Xian,hlgex,HelingeerXian
清水河县,150124,Qingshuihe Xian,qshx,QingshuiheXian
武川县,150125,Wuchuan Xian,wcx,WuchuanXian
土默特左旗,150121,Tumote Zuoqi,tmtzq,TumotezuoQi
包头市,150200,Baotou Shi,bts,BaotouShi
昆都仑区,150203,Kundulun Qu,kdlq,KundulunQu
东河区,150202,Donghe Qu,dhq,DongheQu
青山区,150204,Qingshan Qu,qsq,QingshanQu
石拐区,150205,Shiguai Qu,sgq,ShiguaiQu
白云鄂博矿区,150206,Baiyun&#39;ebo Kuangqu,byebkq,BaiyuneboKuangqu
九原区,150207,Jiuyuan Qu,jyq,JiuyuanQu
固阳县,150222,Guyang Xian,gyx,GuyangXian
土默特右旗,150221,Tumote Youqi,tmtyq,TumoteyouQi
达尔罕茂明安联合旗,150223,Da&#39;erhan Maoming &#39;an Lianheqi,dehmmalhq,DaerhanMaominganLianheqi
乌海市,150300,Wuhai Shi,whs,WuhaiShi
海勃湾区,150302,Haibowan Qu,hbwq,HaibowanQu
海南区,150303,Hainan Qu,hnq,HainanQu
乌达区,150304,Wuda Qu,wdq,WudaQu
赤峰市,150400,Chifeng Shi,cfs,ChifengShi
红山区,150402,Hongshan Qu,hsq,HongshanQu
元宝山区,150403,Yuanbaoshan Qu,ybsq,YuanbaoshanQu
松山区,150404,Songshan Qu,ssq,SongshanQu
林西县,150424,Linxi Xian,lxx,LinxiXian
